#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
61,Poliwhirl,Water,,65,65,65,50,50,90,64.16666666666667
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,85.0
63,Abra,Psychic,,25,20,15,105,55,90,51.666666666666664
64,Kadabra,Psychic,,40,35,30,120,70,105,66.66666666666667
65,Alakazam,Psychic,,55,50,45,135,95,120,83.33333333333333
65,AlakazamMega Alakazam,Psychic,,55,50,65,175,95,150,98.33333333333333
66,Machop,Fighting,,70,80,50,35,35,35,50.833333333333336
67,Machoke,Fighting,,80,100,70,50,60,45,67.5
68,Machamp,Fighting,,90,130,80,65,85,55,84.16666666666667
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,50.0
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,65.0
71,Victreebel,Grass,Poison,80,105,65,100,70,70,81.66666666666667
72,Tentacool,Water,Poison,40,40,35,50,100,70,55.833333333333336
73,Tentacruel,Water,Poison,80,70,65,80,120,100,85.83333333333333
74,Geodude,Rock,Ground,40,80,100,30,30,20,50.0
75,Graveler,Rock,Ground,55,95,115,45,45,35,65.0
76,Golem,Rock,Ground,80,120,130,55,65,45,82.5
77,Ponyta,Fire,,50,85,55,65,65,90,68.33333333333333
78,Rapidash,Fire,,65,100,70,80,80,105,83.33333333333333
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,52.5
80,Slowbro,Water,Psychic,95,75,110,100,80,30,81.66666666666667
80,SlowbroMega Slowbro,Water,Psychic,95,75,180,130,80,30,98.33333333333333
81,Magnemite,Electric,Steel,25,35,70,95,55,45,54.166666666666664
82,Magneton,Electric,Steel,50,60,95,120,70,70,77.5
83,Farfetch'd,Normal,Flying,52,65,55,58,62,60,58.666666666666664
84,Doduo,Normal,Flying,35,85,45,35,35,75,51.666666666666664
85,Dodrio,Normal,Flying,60,110,70,60,60,100,76.66666666666667
86,Seel,Water,,65,45,55,45,70,45,54.166666666666664
87,Dewgong,Water,Ice,90,70,80,70,95,70,79.16666666666667
88,Grimer,Poison,,80,80,50,40,50,25,54.166666666666664
89,Muk,Poison,,105,105,75,65,100,50,83.33333333333333
90,Shellder,Water,,30,65,100,45,25,40,50.833333333333336
91,Cloyster,Water,Ice,50,95,180,85,45,70,87.5
92,Gastly,Ghost,Poison,30,35,30,100,35,80,51.666666666666664
93,Haunter,Ghost,Poison,45,50,45,115,55,95,67.5
94,Gengar,Ghost,Poison,60,65,60,130,75,110,83.33333333333333
94,GengarMega Gengar,Ghost,Poison,60,65,80,170,95,130,100.0
95,Onix,Rock,Ground,35,45,160,30,45,70,64.16666666666667
96,Drowzee,Psychic,,60,48,45,43,90,42,54.666666666666664
97,Hypno,Psychic,,85,73,70,73,115,67,80.5
98,Krabby,Water,,30,105,90,25,25,50,54.166666666666664
99,Kingler,Water,,55,130,115,50,50,75,79.16666666666667
100,Voltorb,Electric,,40,30,50,55,55,100,55.0
101,Electrode,Electric,,60,50,70,80,80,140,80.0
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,54.166666666666664
103,Exeggutor,Grass,Psychic,95,95,85,125,65,55,86.66666666666667
104,Cubone,Ground,,50,50,95,40,50,35,53.333333333333336
105,Marowak,Ground,,60,80,110,50,80,45,70.83333333333333
106,Hitmonlee,Fighting,,50,120,53,35,110,87,75.83333333333333
107,Hitmonchan,Fighting,,50,105,79,35,110,76,75.83333333333333
108,Lickitung,Normal,,90,55,75,60,75,30,64.16666666666667
109,Koffing,Poison,,40,65,95,60,45,35,56.666666666666664
110,Weezing,Poison,,65,90,120,85,70,60,81.66666666666667
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,57.5
112,Rhydon,Ground,Rock,105,130,120,45,45,40,80.83333333333333
113,Chansey,Normal,,250,5,5,35,105,50,75.0
114,Tangela,Grass,,65,55,115,100,40,60,72.5
115,Kangaskhan,Normal,,105,95,80,40,80,90,81.66666666666667
115,KangaskhanMega Kangaskhan,Normal,,105,125,100,60,100,100,98.33333333333333
116,Horsea,Water,,30,40,70,70,25,60,49.166666666666664
117,Seadra,Water,,55,65,95,95,45,85,73.33333333333333
118,Goldeen,Water,,45,67,60,35,50,63,53.333333333333336
119,Seaking,Water,,80,92,65,65,80,68,75.0
120,Staryu,Water,,30,45,55,70,55,85,56.666666666666664
121,Starmie,Water,Psychic,60,75,85,100,85,115,86.66666666666667
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,76.66666666666667
123,Scyther,Bug,Flying,70,110,80,55,80,105,83.33333333333333
124,Jynx,Ice,Psychic,65,50,35,115,95,95,75.83333333333333
125,Electabuzz,Electric,,65,83,57,95,85,105,81.66666666666667
126,Magmar,Fire,,65,95,57,100,85,93,82.5
127,Pinsir,Bug,,65,125,100,55,70,85,83.33333333333333
127,PinsirMega Pinsir,Bug,Flying,65,155,120,65,90,105,100.0
128,Tauros,Normal,,75,100,95,40,70,110,81.66666666666667
129,Magikarp,Water,,20,10,55,15,20,80,33.333333333333336
130,Gyarados,Water,Flying,95,125,79,60,100,81,90.0
130,GyaradosMega Gyarados,Water,Dark,95,155,109,70,130,81,106.66666666666667
131,Lapras,Water,Ice,130,85,80,85,95,60,89.16666666666667
132,Ditto,Normal,,48,48,48,48,48,48,48.0
133,Eevee,Normal,,55,55,50,45,65,55,54.166666666666664
134,Vaporeon,Water,,130,65,60,110,95,65,87.5
135,Jolteon,Electric,,65,65,60,110,95,130,87.5
136,Flareon,Fire,,65,130,60,95,110,65,87.5
137,Porygon,Normal,,65,60,70,85,75,40,65.83333333333333
138,Omanyte,Rock,Water,35,40,100,90,55,35,59.166666666666664
139,Omastar,Rock,Water,70,60,125,115,70,55,82.5
140,Kabuto,Rock,Water,30,80,90,55,45,55,59.166666666666664
141,Kabutops,Rock,Water,60,115,105,65,70,80,82.5
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,85.83333333333333
142,AerodactylMega Aerodactyl,Rock,Flying,80,135,85,70,95,150,102.5
143,Snorlax,Normal,,160,110,65,65,110,30,90.0
144,Articuno,Ice,Flying,90,85,100,95,125,85,96.66666666666667
145,Zapdos,Electric,Flying,90,90,85,125,90,100,96.66666666666667
146,Moltres,Fire,Flying,90,100,90,125,85,90,96.66666666666667
147,Dratini,Dragon,,41,64,45,50,50,50,50.0
148,Dragonair,Dragon,,61,84,65,70,70,70,70.0
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,100.0
150,Mewtwo,Psychic,,106,110,90,154,90,130,113.33333333333333
150,MewtwoMega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,130.0
150,MewtwoMega Mewtwo Y,Psychic,,106,150,70,194,120,140,130.0
151,Mew,Psychic,,100,100,100,100,100,100,100.0
152,Chikorita,Grass,,45,49,65,49,65,45,53.0
153,Bayleef,Grass,,60,62,80,63,80,60,67.5
154,Meganium,Grass,,80,82,100,83,100,80,87.5
155,Cyndaquil,Fire,,39,52,43,60,50,65,51.5
156,Quilava,Fire,,58,64,58,80,65,80,67.5
157,Typhlosion,Fire,,78,84,78,109,85,100,89.0
158,Totodile,Water,,50,65,64,44,48,43,52.333333333333336
159,Croconaw,Water,,65,80,80,59,63,58,67.5
160,Feraligatr,Water,,85,105,100,79,83,78,88.33333333333333
161,Sentret,Normal,,35,46,34,35,45,20,35.833333333333336
162,Furret,Normal,,85,76,64,45,55,90,69.16666666666667
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,43.666666666666664
164,Noctowl,Normal,Flying,100,50,50,76,96,70,73.66666666666667
165,Ledyba,Bug,Flying,40,20,30,40,80,55,44.166666666666664
166,Ledian,Bug,Flying,55,35,50,55,110,85,65.0
167,Spinarak,Bug,Poison,40,60,40,40,40,30,41.666666666666664
168,Ariados,Bug,Poison,70,90,70,60,60,40,65.0
169,Crobat,Poison,Flying,85,90,80,70,80,130,89.16666666666667
170,Chinchou,Water,Electric,75,38,38,56,56,67,55.0
171,Lanturn,Water,Electric,125,58,58,76,76,67,76.66666666666667
172,Pichu,Electric,,20,40,15,35,35,60,34.166666666666664
173,Cleffa,Fairy,,50,25,28,45,55,15,36.333333333333336
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,35.0
175,Togepi,Fairy,,35,20,65,40,65,20,40.833333333333336
176,Togetic,Fairy,Flying,55,40,85,80,105,40,67.5
177,Natu,Psychic,Flying,40,50,45,70,45,70,53.333333333333336
178,Xatu,Psychic,Flying,65,75,70,95,70,95,78.33333333333333
179,Mareep,Electric,,55,40,40,65,45,35,46.666666666666664
180,Flaaffy,Electric,,70,55,55,80,60,45,60.833333333333336
181,Ampharos,Electric,,90,75,85,115,90,55,85.0
181,AmpharosMega Ampharos,Electric,Dragon,90,95,105,165,110,45,101.66666666666667
182,Bellossom,Grass,,75,80,95,90,100,50,81.66666666666667
183,Marill,Water,Fairy,70,20,50,20,50,40,41.666666666666664
184,Azumarill,Water,Fairy,100,50,80,60,80,50,70.0
185,Sudowoodo,Rock,,70,100,115,30,65,30,68.33333333333333
186,Politoed,Water,,90,75,75,90,100,70,83.33333333333333
187,Hoppip,Grass,Flying,35,35,40,35,55,50,41.666666666666664
188,Skiploom,Grass,Flying,55,45,50,45,65,80,56.666666666666664
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,76.66666666666667
190,Aipom,Normal,,55,70,55,40,55,85,60.0
191,Sunkern,Grass,,30,30,30,30,30,30,30.0
192,Sunflora,Grass,,75,75,55,105,85,30,70.83333333333333
193,Yanma,Bug,Flying,65,65,45,75,45,95,65.0
194,Wooper,Water,Ground,55,45,45,25,25,15,35.0
195,Quagsire,Water,Ground,95,85,85,65,65,35,71.66666666666667
196,Espeon,Psychic,,65,65,60,130,95,110,87.5
197,Umbreon,Dark,,95,65,110,60,130,65,87.5
198,Murkrow,Dark,Flying,60,85,42,85,42,91,67.5
199,Slowking,Water,Psychic,95,75,80,100,110,30,81.66666666666667
200,Misdreavus,Ghost,,60,60,60,85,85,85,72.5
201,Unown,Psychic,,48,72,48,72,48,48,56.0
202,Wobbuffet,Psychic,,190,33,58,33,58,33,67.5
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,75.83333333333333
204,Pineco,Bug,,50,65,90,35,35,15,48.333333333333336
205,Forretress,Bug,Steel,75,90,140,60,60,40,77.5
206,Dunsparce,Normal,,100,70,70,65,65,45,69.16666666666667
207,Gligar,Ground,Flying,65,75,105,35,65,85,71.66666666666667
208,Steelix,Steel,Ground,75,85,200,55,65,30,85.0
208,SteelixMega Steelix,Steel,Ground,75,125,230,55,95,30,101.66666666666667
209,Snubbull,Fairy,,60,80,50,40,40,30,50.0
210,Granbull,Fairy,,90,120,75,60,60,45,75.0
211,Qwilfish,Water,Poison,65,95,75,55,55,85,71.66666666666667
212,Scizor,Bug,Steel,70,130,100,55,80,65,83.33333333333333
212,ScizorMega Scizor,Bug,Steel,70,150,140,65,100,75,100.0
213,Shuckle,Bug,Rock,20,10,230,10,230,5,84.16666666666667
214,Heracross,Bug,Fighting,80,125,75,40,95,85,83.33333333333333
214,HeracrossMega Heracross,Bug,Fighting,80,185,115,40,105,75,100.0
215,Sneasel,Dark,Ice,55,95,55,35,75,115,71.66666666666667
216,Teddiursa,Normal,,60,80,50,50,50,40,55.0
217,Ursaring,Normal,,90,130,75,75,75,55,83.33333333333333
218,Slugma,Fire,,40,40,40,70,40,20,41.666666666666664
219,Magcargo,Fire,Rock,50,50,120,80,80,30,68.33333333333333
220,Swinub,Ice,Ground,50,50,40,30,30,50,41.666666666666664
221,Piloswine,Ice,Ground,100,100,80,60,60,50,75.0
222,Corsola,Water,Rock,55,55,85,65,85,35,63.333333333333336
223,Remoraid,Water,,35,65,35,65,35,65,50.0
224,Octillery,Water,,75,105,75,105,75,45,80.0
225,Delibird,Ice,Flying,45,55,45,65,45,75,55.0
226,Mantine,Water,Flying,65,40,70,80,140,70,77.5
227,Skarmory,Steel,Flying,65,80,140,40,70,70,77.5
228,Houndour,Dark,Fire,45,60,30,80,50,65,55.0
229,Houndoom,Dark,Fire,75,90,50,110,80,95,83.33333333333333
229,HoundoomMega Houndoom,Dark,Fire,75,90,90,140,90,115,100.0
230,Kingdra,Water,Dragon,75,95,95,95,95,85,90.0
231,Phanpy,Ground,,90,60,60,40,40,40,55.0
232,Donphan,Ground,,90,120,120,60,60,50,83.33333333333333
233,Porygon2,Normal,,85,80,90,105,95,60,85.83333333333333
234,Stantler,Normal,,73,95,62,85,65,85,77.5
235,Smeargle,Normal,,55,20,35,20,45,75,41.666666666666664
236,Tyrogue,Fighting,,35,35,35,35,35,35,35.0
237,Hitmontop,Fighting,,50,95,95,35,110,70,75.83333333333333
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,50.833333333333336
239,Elekid,Electric,,45,63,37,65,55,95,60.0
240,Magby,Fire,,45,75,37,70,55,83,60.833333333333336
241,Miltank,Normal,,95,80,105,40,70,100,81.66666666666667
242,Blissey,Normal,,255,10,10,75,135,55,90.0
243,Raikou,Electric,,90,85,75,115,100,115,96.66666666666667
244,Entei,Fire,,115,115,85,90,75,100,96.66666666666667
245,Suicune,Water,,100,75,115,90,115,85,96.66666666666667
246,Larvitar,Rock,Ground,50,64,50,45,50,41,50.0
247,Pupitar,Rock,Ground,70,84,70,65,70,51,68.33333333333333
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,100.0
248,TyranitarMega Tyranitar,Rock,Dark,100,164,150,95,120,71,116.66666666666667
249,Lugia,Psychic,Flying,106,90,130,90,154,110,113.33333333333333
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,113.33333333333333
251,Celebi,Psychic,Grass,100,100,100,100,100,100,100.0
252,Treecko,Grass,,40,45,35,65,55,70,51.666666666666664
253,Grovyle,Grass,,50,65,45,85,65,95,67.5
254,Sceptile,Grass,,70,85,65,105,85,120,88.33333333333333
254,SceptileMega Sceptile,Grass,Dragon,70,110,75,145,85,145,105.0
255,Torchic,Fire,,45,60,40,70,50,45,51.666666666666664
256,Combusken,Fire,Fighting,60,85,60,85,60,55,67.5
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,88.33333333333333
257,BlazikenMega Blaziken,Fire,Fighting,80,160,80,130,80,100,105.0
258,Mudkip,Water,,50,70,50,50,50,40,51.666666666666664
259,Marshtomp,Water,Ground,70,85,70,60,70,50,67.5
260,Swampert,Water,Ground,100,110,90,85,90,60,89.16666666666667
260,SwampertMega Swampert,Water,Ground,100,150,110,95,110,70,105.83333333333333
261,Poochyena,Dark,,35,55,35,30,30,35,36.666666666666664
262,Mightyena,Dark,,70,90,70,60,60,70,70.0
263,Zigzagoon,Normal,,38,30,41,30,41,60,40.0
264,Linoone,Normal,,78,70,61,50,61,100,70.0
265,Wurmple,Bug,,45,45,35,20,30,20,32.5
266,Silcoon,Bug,,50,35,55,25,25,15,34.166666666666664
267,Beautifly,Bug,Flying,60,70,50,100,50,65,65.83333333333333
268,Cascoon,Bug,,50,35,55,25,25,15,34.166666666666664
269,Dustox,Bug,Poison,60,50,70,50,90,65,64.16666666666667
270,Lotad,Water,Grass,40,30,30,40,50,30,36.666666666666664
271,Lombre,Water,Grass,60,50,50,60,70,50,56.666666666666664
272,Ludicolo,Water,Grass,80,70,70,90,100,70,80.0
273,Seedot,Grass,,40,40,50,30,30,30,36.666666666666664
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,56.666666666666664
275,Shiftry,Grass,Dark,90,100,60,90,60,80,80.0
276,Taillow,Normal,Flying,40,55,30,30,30,85,45.0
277,Swellow,Normal,Flying,60,85,60,50,50,125,71.66666666666667
278,Wingull,Water,Flying,40,30,30,55,30,85,45.0
279,Pelipper,Water,Flying,60,50,100,85,70,65,71.66666666666667
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,33.0
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,46.333333333333336
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,86.33333333333333
282,GardevoirMega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,103.0
283,Surskit,Bug,Water,40,30,32,50,52,65,44.833333333333336
284,Masquerain,Bug,Flying,70,60,62,80,82,60,69.0
285,Shroomish,Grass,,60,40,60,40,60,35,49.166666666666664
286,Breloom,Grass,Fighting,60,130,80,60,60,70,76.66666666666667
287,Slakoth,Normal,,60,60,60,35,35,30,46.666666666666664
288,Vigoroth,Normal,,80,80,80,55,55,90,73.33333333333333
289,Slaking,Normal,,150,160,100,95,65,100,111.66666666666667
290,Nincada,Bug,Ground,31,45,90,30,30,40,44.333333333333336
291,Ninjask,Bug,Flying,61,90,45,50,50,160,76.0
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,39.333333333333336
293,Whismur,Normal,,64,51,23,51,23,28,40.0
294,Loudred,Normal,,84,71,43,71,43,48,60.0
295,Exploud,Normal,,104,91,63,91,73,68,81.66666666666667
296,Makuhita,Fighting,,72,60,30,20,30,25,39.5
297,Hariyama,Fighting,,144,120,60,40,60,50,79.0
298,Azurill,Normal,Fairy,50,20,40,20,40,20,31.666666666666668
299,Nosepass,Rock,,30,45,135,45,90,30,62.5
300,Skitty,Normal,,50,45,45,35,35,50,43.333333333333336
301,Delcatty,Normal,,70,65,65,55,55,70,63.333333333333336
302,Sableye,Dark,Ghost,50,75,75,65,65,50,63.333333333333336
302,SableyeMega Sableye,Dark,Ghost,50,85,125,85,115,20,80.0
303,Mawile,Steel,Fairy,50,85,85,55,55,50,63.333333333333336
303,MawileMega Mawile,Steel,Fairy,50,105,125,55,95,50,80.0
304,Aron,Steel,Rock,50,70,100,40,40,30,55.0
305,Lairon,Steel,Rock,60,90,140,50,50,40,71.66666666666667
306,Aggron,Steel,Rock,70,110,180,60,60,50,88.33333333333333
306,AggronMega Aggron,Steel,,70,140,230,60,80,50,105.0
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,46.666666666666664
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,68.33333333333333
308,MedichamMega Medicham,Fighting,Psychic,60,100,85,80,85,100,85.0
309,Electrike,Electric,,40,45,40,65,40,65,49.166666666666664
310,Manectric,Electric,,70,75,60,105,60,105,79.16666666666667
310,ManectricMega Manectric,Electric,,70,75,80,135,80,135,95.83333333333333
311,Plusle,Electric,,60,50,40,85,75,95,67.5
312,Minun,Electric,,60,40,50,75,85,95,67.5
313,Volbeat,Bug,,65,73,55,47,75,85,66.66666666666667
314,Illumise,Bug,,65,47,55,73,75,85,66.66666666666667
315,Roselia,Grass,Poison,50,60,45,100,80,65,66.66666666666667
316,Gulpin,Poison,,70,43,53,43,53,40,50.333333333333336
317,Swalot,Poison,,100,73,83,73,83,55,77.83333333333333
318,Carvanha,Water,Dark,45,90,20,65,20,65,50.833333333333336
319,Sharpedo,Water,Dark,70,120,40,95,40,95,76.66666666666667
319,SharpedoMega Sharpedo,Water,Dark,70,140,70,110,65,105,93.33333333333333
320,Wailmer,Water,,130,70,35,70,35,60,66.66666666666667
321,Wailord,Water,,170,90,45,90,45,60,83.33333333333333
322,Numel,Fire,Ground,60,60,40,65,45,35,50.833333333333336
323,Camerupt,Fire,Ground,70,100,70,105,75,40,76.66666666666667
323,CameruptMega Camerupt,Fire,Ground,70,120,100,145,105,20,93.33333333333333
324,Torkoal,Fire,,70,85,140,85,70,20,78.33333333333333
325,Spoink,Psychic,,60,25,35,70,80,60,55.0
326,Grumpig,Psychic,,80,45,65,90,110,80,78.33333333333333
327,Spinda,Normal,,60,60,60,60,60,60,60.0
328,Trapinch,Ground,,45,100,45,45,45,10,48.333333333333336
329,Vibrava,Ground,Dragon,50,70,50,50,50,70,56.666666666666664
330,Flygon,Ground,Dragon,80,100,80,80,80,100,86.66666666666667
331,Cacnea,Grass,,50,85,40,85,40,35,55.833333333333336
332,Cacturne,Grass,Dark,70,115,60,115,60,55,79.16666666666667
333,Swablu,Normal,Flying,45,40,60,40,75,50,51.666666666666664
334,Altaria,Dragon,Flying,75,70,90,70,105,80,81.66666666666667
334,AltariaMega Altaria,Dragon,Fairy,75,110,110,110,105,80,98.33333333333333
335,Zangoose,Normal,,73,115,60,60,60,90,76.33333333333333
336,Seviper,Poison,,73,100,60,100,60,65,76.33333333333333
337,Lunatone,Rock,Psychic,70,55,65,95,85,70,73.33333333333333
338,Solrock,Rock,Psychic,70,95,85,55,65,70,73.33333333333333
339,Barboach,Water,Ground,50,48,43,46,41,60,48.0
340,Whiscash,Water,Ground,110,78,73,76,71,60,78.0
341,Corphish,Water,,43,80,65,50,35,35,51.333333333333336
342,Crawdaunt,Water,Dark,63,120,85,90,55,55,78.0
343,Baltoy,Ground,Psychic,40,40,55,40,70,55,50.0
344,Claydol,Ground,Psychic,60,70,105,70,120,75,83.33333333333333
345,Lileep,Rock,Grass,66,41,77,61,87,23,59.166666666666664
346,Cradily,Rock,Grass,86,81,97,81,107,43,82.5
347,Anorith,Rock,Bug,45,95,50,40,50,75,59.166666666666664
348,Armaldo,Rock,Bug,75,125,100,70,80,45,82.5
349,Feebas,Water,,20,15,20,10,55,80,33.333333333333336
350,Milotic,Water,,95,60,79,100,125,81,90.0
351,Castform,Normal,,70,70,70,70,70,70,70.0
352,Kecleon,Normal,,60,90,70,60,120,40,73.33333333333333
353,Shuppet,Ghost,,44,75,35,63,33,45,49.166666666666664
354,Banette,Ghost,,64,115,65,83,63,65,75.83333333333333
354,BanetteMega Banette,Ghost,,64,165,75,93,83,75,92.5
355,Duskull,Ghost,,20,40,90,30,90,25,49.166666666666664
356,Dusclops,Ghost,,40,70,130,60,130,25,75.83333333333333
357,Tropius,Grass,Flying,99,68,83,72,87,51,76.66666666666667
358,Chimecho,Psychic,,65,50,70,95,80,65,70.83333333333333
359,Absol,Dark,,65,130,60,75,60,75,77.5
359,AbsolMega Absol,Dark,,65,150,60,115,60,115,94.16666666666667
360,Wynaut,Psychic,,95,23,48,23,48,23,43.333333333333336
361,Snorunt,Ice,,50,50,50,50,50,50,50.0
362,Glalie,Ice,,80,80,80,80,80,80,80.0
362,GlalieMega Glalie,Ice,,80,120,80,120,80,100,96.66666666666667
363,Spheal,Ice,Water,70,40,50,55,50,25,48.333333333333336
364,Sealeo,Ice,Water,90,60,70,75,70,45,68.33333333333333
365,Walrein,Ice,Water,110,80,90,95,90,65,88.33333333333333
366,Clamperl,Water,,35,64,85,74,55,32,57.5
367,Huntail,Water,,55,104,105,94,75,52,80.83333333333333
368,Gorebyss,Water,,55,84,105,114,75,52,80.83333333333333
369,Relicanth,Water,Rock,100,90,130,45,65,55,80.83333333333333
370,Luvdisc,Water,,43,30,55,40,65,97,55.0
371,Bagon,Dragon,,45,75,60,40,30,50,50.0
372,Shelgon,Dragon,,65,95,100,60,50,50,70.0
373,Salamence,Dragon,Flying,95,135,80,110,80,100,100.0
373,SalamenceMega Salamence,Dragon,Flying,95,145,130,120,90,120,116.66666666666667
374,Beldum,Steel,Psychic,40,55,80,35,60,30,50.0
375,Metang,Steel,Psychic,60,75,100,55,80,50,70.0
376,Metagross,Steel,Psychic,80,135,130,95,90,70,100.0
376,MetagrossMega Metagross,Steel,Psychic,80,145,150,105,110,110,116.66666666666667
377,Regirock,Rock,,80,100,200,50,100,50,96.66666666666667
378,Regice,Ice,,80,50,100,100,200,50,96.66666666666667
379,Registeel,Steel,,80,75,150,75,150,50,96.66666666666667
